Product_A,Product_B,TimesBoughtTogether,CombinedRevenue
JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT,833,63373.56
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,783,38695.8
JUMBO BAG RED RETROSPOT,JUMBO STORAGE BAG SUKI,733,42062.81
JUMBO BAG RED RETROSPOT,JUMBO SHOPPER VINTAGE RED PAISLEY,683,36334.22
LUNCH BAG RED RETROSPOT,LUNCH BAG SUKI DESIGN,662,26807.48
LUNCH BAG BLACK SKULL.,LUNCH BAG RED RETROSPOT,648,26317.41
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,646,41224.52
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,643,29543.91
LUNCH BAG PINK POLKADOT,LUNCH BAG RED RETROSPOT,613,23657.06
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,613,31255.7
JUMBO BAG BAROQUE BLACK WHITE,JUMBO BAG RED RETROSPOT,593,40036.81
JUMBO BAG RED RETROSPOT,LUNCH BAG RED RETROSPOT,588,30071.66
LUNCH BAG BLACK SKULL.,LUNCH BAG SUKI DESIGN,587,20877.66
LUNCH BAG RED RETROSPOT,LUNCH BAG SPACEBOY DESIGN,563,21465.84
LUNCH BAG CARS BLUE,LUNCH BAG RED RETROSPOT,561,25198.5
