Product,TimesSold,UnitsSold,AvgPrice,TotalRevenue
DOTCOM POSTAGE,707,705.0,291.73,206245.48
REGENCY CAKESTAND 3 TIER,2168,12996.0,13.82,164459.49
WHITE HANGING HEART T-LIGHT HOLDER,2298,35294.0,3.21,99612.42
PARTY BUNTING,1705,18006.0,5.79,98243.88
JUMBO BAG RED RETROSPOT,2132,47256.0,2.47,92175.79
RABBIT NIGHT LIGHT,1009,30631.0,2.38,66661.63
PAPER CHAIN KIT 50'S CHRISTMAS,1170,18876.0,3.36,63715.24
ASSORTED COLOUR BIRD ORNAMENT,1467,36282.0,1.72,58792.42
CHILLI LIGHTS,667,10222.0,6.78,53746.66
SPOTTY BUNTING,1151,8207.0,5.52,42015.82
JUMBO BAG PINK POLKADOT,1231,20992.0,2.59,41584.43
BLACK RECORD COVER FRAME,380,11636.0,4.21,40578.21
PICNIC BASKET WICKER 60 PIECES,2,61.0,649.5,39619.5
SET OF 3 CAKE TINS PANTRY DESIGN,1458,7329.0,5.79,37378.79
DOORMAT KEEP CALM AND COME IN,735,5262.0,8.77,36532.39
